Date,Actual,Predicted_Ridge Regression,Lower_95%_CI,Upper_95%_CI
2025-03-31,57597.7697,56880.47907491028,55047.83404840265,58713.12410141792
2025-04-30,57892.1,59255.90431846825,57423.25929196062,61088.54934497589
2025-05-31,59407.4,59124.43632674004,57291.791300232406,60957.081353247675
2025-06-30,59396.9,60477.79054240581,58645.14551589818,62310.435568913446
2025-07-31,60256.9,60763.0729432594,58930.42791675177,62595.717969767036
2025-08-31,61148.5,61548.23443664363,59715.589410135995,63380.879463151265
2025-09-30,61155.1,61959.37961669057,60126.73459018293,63792.0246431982
2025-10-31,61323.0,61600.040900390624,59767.39587388299,63432.68592689826
2025-11-30,61183.9,62817.86172928454,60985.2167027769,64650.50675579217
2025-12-31,62156.8,62671.31005258437,60838.665026076735,64503.955079092004
2026-01-31,65870.9,64546.598694343724,62713.95366783609,66379.24372085136
2026-02-28,64794.4,65584.9447544627,63752.29972795507,67417.58978097033
