Месяц,Базовый,Оптимистичный,Пессимистичный,Нижняя граница 95%,Верхняя граница 95%
2026-03,65766.0,65702.0,65937.0,65070.0,66462.0
2026-04,65192.0,65165.0,65332.0,64496.0,65888.0
2026-05,65760.0,65782.0,65853.0,65064.0,66456.0
2026-06,66007.0,66085.0,66059.0,65311.0,66703.0
2026-07,66552.0,66705.0,66536.0,65856.0,67248.0
2026-08,67123.0,67358.0,67027.0,66427.0,67819.0
2026-09,67444.0,67760.0,67283.0,66748.0,68140.0
2026-10,67958.0,68374.0,67707.0,67262.0,68654.0
2026-11,67941.0,68465.0,67587.0,67245.0,68637.0
2026-12,68293.0,68930.0,67837.0,67597.0,68989.0
2027-01,69084.0,69843.0,68513.0,68387.0,69780.0
2027-02,70046.0,70934.0,69353.0,69350.0,70742.0
